5,0.0000009537,0.0000040000,0.0000030000,734.0032000000
10000,0.2415590286,0.2156910000,0.0142480000,95.1895697331
500000,0.0897300243,0.0843480000,0.0052970000,99.9052442720
500000,0.1314601898,0.1068220000,0.0238060000,99.3669643863
500000,0.7354738712,0.6531860000,0.0793620000,99.6021787659
500000,0.0042960644,0.0036840000,0.0005200000,97.8570065819
500000,0.1040620804,0.1010150000,0.0027830000,99.7462280378
500000,0.2584998608,0.1525640000,0.0154210000,64.9845611150
500000,0.1530859470,0.1456540000,0.0072540000,99.8837600445
500000,0.7522351742,0.7134330000,0.0239540000,98.0261260456
500000,0.0029411316,0.0029470000,0.0000000000,100.1995289235
